Y	M	D	H	Rain	Temp
0	0	17	6	0	4.75
0	0	17	7	0	10
0	0	17	8	0	18.3
0	0	17	9	0	21.45
0	0	17	10	0	23.35
0	0	17	11	0	25.3
0	0	17	12	0	26.1
0	0	17	13	0	27.15
0	0	17	14	0	27.25
0	0	17	15	0	27.55
0	0	17	16	0	26.65
0	0	17	17	0	24.65
0	0	17	18	0	18.35
0	0	17	19	0	13.4
0	0	17	20	0	11.65
0	0	17	21	0	9.7
0	0	17	22	0	9.8
0	0	17	23	0	9
0	0	18	0	0	7.85
0	0	18	1	0	7.85
0	0	18	2	0	6.8
0	0	18	3	0	7.1
0	0	18	4	0	5.9
0	0	18	5	0	4.55
0	0	18	6	0	3.3
0	0	18	7	0	7.75
0	0	18	8	0	19.25
0	0	18	9	0	21.1
0	0	18	10	0	23.4
0	0	18	11	0	25.55
0	0	18	12	0	26.85
0	0	18	13	0	27.4
0	0	18	14	0	28.15
0	0	18	15	0	27.85
0	0	18	16	0	27.05
0	0	18	17	0	25.05
0	0	18	18	0	17.75
0	0	18	19	0	12.75
0	0	18	20	0	11.45
0	0	18	21	0	9.25
0	0	18	22	0	8.65
0	0	18	23	0	7.3
0	0	19	0	0	6.85
0	0	19	1	0	8.2
0	0	19	2	0	7.05
0	0	19	3	0	6.35
0	0	19	4	0	4.35
0	0	19	5	0	4.75
0	0	19	6	0	4.15
0	0	19	7	0	8.15
0	0	19	8	0	19.3
0	0	19	9	0	21.5
0	0	19	10	0	23.85
0	0	19	11	0	26.4
0	0	19	12	0	27.55
0	0	19	13	0	28.25
0	0	19	14	0	28.15
0	0	19	15	0	28.65
0	0	19	16	0	27.7
0	0	19	17	0	25.45
0	0	19	18	0	18.05
0	0	19	19	0	13.1
0	0	19	20	0	12.15
0	0	19	21	0	9.4
0	0	19	22	0	9.25
0	0	19	23	0	8.6
0	0	20	0	0	7.6
0	0	20	1	0	6.85
0	0	20	2	0	6.4
0	0	20	3	0	6.45
0	0	20	4	0	4.65
0	0	20	5	0	5.5
0	0	20	6	0	4.05
0	0	20	7	0	10.6
0	0	20	8	0	19.2
